DATE,WEEKDAY,STATION,COUNT_PICKUP,COUNT_RETURN,BALANCE,CAPACITY,IMBALANCE_FACTOR,TURNOVER
2021-01-30,no,Jefferson Dr & 14th St SW,11.0,16.0,5.0,23,0.2,0.5
2021-01-31,no,Jefferson Dr & 14th St SW,8.0,6.0,-2.0,23,-0.1,0.3
2021-02-02,yes,Jefferson Dr & 14th St SW,2.0,2.0,0.0,23,0.0,0.1
2021-02-03,yes,Jefferson Dr & 14th St SW,6.0,6.0,0.0,23,0.0,0.3
2021-02-04,yes,Jefferson Dr & 14th St SW,15.0,10.0,-5.0,23,-0.2,0.7
2021-02-05,yes,Jefferson Dr & 14th St SW,8.0,7.0,-1.0,23,-0.0,0.3
2021-02-06,no,Jefferson Dr & 14th St SW,32.0,32.0,0.0,23,0.0,1.4
2021-02-07,no,Jefferson Dr & 14th St SW,3.0,3.0,0.0,23,0.0,0.1
2021-02-08,yes,Jefferson Dr & 14th St SW,6.0,7.0,1.0,23,0.0,0.3
2021-02-09,yes,Jefferson Dr & 14th St SW,11.0,7.0,-4.0,23,-0.2,0.5
2021-02-10,yes,Jefferson Dr & 14th St SW,3.0,2.0,-1.0,23,-0.0,0.1
2021-02-11,yes,Jefferson Dr & 14th St SW,5.0,4.0,-1.0,23,-0.0,0.2
2021-02-12,yes,Jefferson Dr & 14th St SW,4.0,5.0,1.0,23,0.0,0.2
2021-02-13,no,Jefferson Dr & 14th St SW,1.0,3.0,2.0,23,0.1,0.0
2021-02-14,no,Jefferson Dr & 14th St SW,12.0,11.0,-1.0,23,-0.0,0.5
2021-02-15,yes,Jefferson Dr & 14th St SW,21.0,22.0,1.0,23,0.0,0.9
2021-02-16,yes,Jefferson Dr & 14th St SW,5.0,4.0,-1.0,23,-0.0,0.2
2021-02-17,yes,Jefferson Dr & 14th St SW,1.0,1.0,0.0,23,0.0,0.0
2021-02-18,yes,Jefferson Dr & 14th St SW,0.0,2.0,2.0,23,0.1,0.0
2021-02-19,yes,Jefferson Dr & 14th St SW,7.0,10.0,3.0,23,0.1,0.3
2021-02-20,no,Jefferson Dr & 14th St SW,4.0,11.0,7.0,23,0.3,0.2
2021-02-21,no,Jefferson Dr & 14th St SW,12.0,19.0,7.0,23,0.3,0.5
2021-02-23,yes,Jefferson Dr & 14th St SW,10.0,4.0,-6.0,23,-0.3,0.4
2021-02-24,yes,Jefferson Dr & 14th St SW,31.0,34.0,3.0,23,0.1,1.3
2021-02-25,yes,Jefferson Dr & 14th St SW,11.0,13.0,2.0,23,0.1,0.5
2021-02-26,yes,Jefferson Dr & 14th St SW,17.0,17.0,0.0,23,0.0,0.7
2021-02-27,no,Jefferson Dr & 14th St SW,16.0,31.0,15.0,23,0.7,0.7
2021-03-01,yes,Jefferson Dr & 14th St SW,3.0,7.0,4.0,23,0.2,0.1
2021-03-02,yes,Jefferson Dr & 14th St SW,8.0,8.0,0.0,23,0.0,0.3
2021-03-03,yes,Jefferson Dr & 14th St SW,21.0,19.0,-2.0,23,-0.1,0.9
2021-03-04,yes,Jefferson Dr & 14th St SW,11.0,10.0,-1.0,23,-0.0,0.5
2021-03-05,yes,Jefferson Dr & 14th St SW,6.0,5.0,-1.0,23,-0.0,0.3
2021-03-06,no,Jefferson Dr & 14th St SW,17.0,29.0,12.0,23,0.5,0.7
2021-03-07,no,Jefferson Dr & 14th St SW,21.0,31.0,10.0,23,0.4,0.9
2021-03-08,yes,Jefferson Dr & 14th St SW,15.0,13.0,-2.0,23,-0.1,0.7
2021-03-09,yes,Jefferson Dr & 14th St SW,32.0,33.0,1.0,23,0.0,1.4
2021-03-10,yes,Jefferson Dr & 14th St SW,27.0,27.0,0.0,23,0.0,1.2
2021-03-11,yes,Jefferson Dr & 14th St SW,46.0,45.0,-1.0,23,-0.0,2.0
2021-03-12,yes,Jefferson Dr & 14th St SW,48.0,52.0,4.0,23,0.2,2.1
2021-03-13,no,Jefferson Dr & 14th St SW,69.0,80.0,11.0,23,0.5,3.0
2021-03-14,no,Jefferson Dr & 14th St SW,57.0,46.0,-11.0,23,-0.5,2.5
2021-03-15,yes,Jefferson Dr & 14th St SW,23.0,24.0,1.0,23,0.0,1.0
2021-03-16,yes,Jefferson Dr & 14th St SW,12.0,10.0,-2.0,23,-0.1,0.5
2021-03-17,yes,Jefferson Dr & 14th St SW,14.0,18.0,4.0,23,0.2,0.6
2021-03-18,yes,Jefferson Dr & 14th St SW,3.0,1.0,-2.0,23,-0.1,0.1
2021-03-19,yes,Jefferson Dr & 14th St SW,15.0,24.0,9.0,23,0.4,0.7
2021-03-20,no,Jefferson Dr & 14th St SW,85.0,90.0,5.0,23,0.2,3.7
2021-03-21,no,Jefferson Dr & 14th St SW,65.0,81.0,16.0,23,0.7,2.8
2021-03-22,yes,Jefferson Dr & 14th St SW,42.0,41.0,-1.0,23,-0.0,1.8
2021-03-23,yes,Jefferson Dr & 14th St SW,39.0,46.0,7.0,23,0.3,1.7
2021-03-24,yes,Jefferson Dr & 14th St SW,2.0,6.0,4.0,23,0.2,0.1
2021-03-25,yes,Jefferson Dr & 14th St SW,21.0,25.0,4.0,23,0.2,0.9
